Id,Age,Gender,Marital_Status,Owns_Home,Number_of_Children_under_18_years_of_age
1,23,F,D,N,1
2,42,F,M,N,1
3,51,F,M,N,1
4,35,F,D,N,2
5,42,M,S,N,0
6,50,M,M,Y,1
7,40,M,M,Y,0
8,58,M,M,Y,0
9,36,F,M,N,2
10,56,F,M,Y,1
11,23,F,S,N,0
12,61,M,M,Y,0
13,76,M,M,Y,2
14,50,M,M,Y,2
15,25,F,M,Y,0
16,71,M,M,Y,0
17,66,F,M,N,0
18,28,F,M,Y,2
19,36,M,S,N,0
20,61,F,M,Y,0
21,39,F,D,N,1
22,63,M,M,N,0
23,77,M,D,Y,1
24,56,M,S,Y,0
25,80,F,S,Y,0
26,64,F,S,Y,0
27,62,M,S,Y,0
28,46,F,M,Y,3
29,23,F,M,N,0
30,46,F,M,Y,0
31,38,F,S,N,0
32,41,F,M,Y,2
33,63,M,M,Y,0
34,62,M,S,Y,0
35,66,M,M,Y,0
36,46,F,M,Y,0
37,58,F,S,Y,0
38,64,M,M,Y,0
39,65,M,M,Y,0
40,28,M,S,N,0
41,45,M,M,Y,3
42,55,F,M,Y,0
43,50,M,M,Y,0
44,20,M,S,Y,0
45,66,F,S,N,0
46,49,M,S,N,0
47,61,F,D,Y,3
48,41,M,S,N,0
49,67,F,M,N,1
50,26,F,M,N,1
51,37,F,S,N,0
52,49,F,M,N,3
53,47,M,S,N,0
54,54,M,M,Y,1
55,73,M,M,Y,0
56,69,M,S,Y,0
57,57,F,S,N,0
58,51,M,M,Y,1
59,66,M,S,Y,0
60,34,M,S,Y,0
61,32,M,M,N,0
62,50,M,S,Y,0
63,53,F,M,Y,0
64,48,M,S,Y,0
65,37,M,D,Y,1
66,56,F,D,N,1
67,72,M,M,Y,0
68,55,F,S,N,0
69,36,F,D,N,2
70,61,M,M,Y,0
71,68,F,M,Y,0
72,57,M,M,Y,0
73,54,M,M,Y,0
74,54,F,D,Y,1
75,61,M,M,Y,0
76,73,F,M,Y,0
77,35,F,D,N,1
78,63,F,M,Y,0
79,27,M,D,Y,2
80,73,M,S,Y,0
81,56,F,M,Y,2
82,49,M,M,N,2
83,31,M,M,Y,0
84,40,M,M,Y,0
85,23,F,D,N,2
86,47,F,S,N,0
87,27,F,M,Y,2
88,53,M,S,Y,0
89,30,F,S,N,0
90,34,F,M,N,0
91,88,M,M,Y,0
92,43,F,M,N,0
93,35,M,S,N,0
94,38,M,S,N,0
95,53,F,M,Y,0
96,48,M,M,Y,2
97,24,F,D,Y,1
98,59,F,M,Y,1
99,48,M,M,Y,1
100,78,F,S,Y,0
101,34,F,S,Y,0
102,62,F,S,Y,0
103,45,M,M,Y,3
104,38,F,S,N,0
105,54,M,M,Y,1
106,68,M,M,Y,0
107,42,F,M,N,1
108,45,F,M,Y,1
109,37,F,M,Y,2
110,50,M,M,Y,1
111,26,F,D,N,1
112,78,F,S,N,0
113,22,F,S,N,0
114,38,M,M,Y,0
115,43,F,S,N,0
116,57,M,S,Y,0
117,50,M,S,N,0
118,22,F,S,N,0
119,34,M,S,N,0
120,82,F,M,N,0
121,46,M,M,Y,2
122,39,F,S,N,0
123,21,F,S,N,0
124,36,F,M,N,1
125,46,F,M,Y,3
126,56,M,S,Y,0
127,62,F,S,N,0
128,66,F,S,N,0
129,63,F,S,N,0
130,65,M,M,N,0
131,43,F,S,Y,0
132,31,F,S,Y,0
133,63,M,S,Y,0
134,39,M,M,Y,0
135,72,M,M,Y,0
136,45,M,M,Y,1
137,52,M,M,Y,0
138,43,M,M,N,1
139,33,M,S,Y,0
140,55,F,S,N,0
141,48,M,M,Y,1
142,60,F,S,Y,0
143,49,M,M,Y,0
144,41,M,M,Y,0
145,74,F,M,Y,0
146,36,F,S,N,0
147,49,F,S,Y,0
148,60,M,S,Y,0
149,31,M,M,Y,0
150,67,M,M,Y,0
151,78,M,D,Y,1
152,31,M,M,Y,0
153,48,M,S,N,0
154,61,M,S,Y,0
155,34,F,S,N,0
156,73,M,M,Y,0
157,60,F,S,N,0
158,42,M,M,Y,0
159,50,M,M,Y,2
160,52,M,M,Y,0
161,63,F,S,Y,0
162,68,M,S,N,0
163,81,F,M,N,1
164,40,M,M,Y,0
165,22,M,S,N,0
166,44,F,M,N,1
167,48,M,S,Y,0
168,24,F,S,Y,0
169,40,F,S,Y,0
170,53,F,M,Y,1
171,57,M,M,Y,0
172,62,F,S,Y,0
173,25,F,M,Y,2
174,29,F,M,N,0
175,89,M,D,N,4
176,57,M,S,N,0
177,48,M,M,N,0
178,44,F,M,Y,5
179,65,M,M,Y,1
180,46,F,M,Y,0
181,70,F,S,Y,0
182,67,M,M,Y,0
183,23,F,M,Y,1
184,35,M,M,Y,1
185,28,M,S,Y,0
186,57,M,M,Y,0
187,49,M,M,Y,1
188,63,M,S,Y,0
189,66,M,M,Y,0
190,40,F,M,N,0
191,31,F,M,Y,2
192,38,M,M,Y,5
193,49,M,M,Y,0
194,23,F,S,N,0
195,33,F,M,N,0
196,61,M,S,N,0
197,52,M,M,N,2
198,50,F,M,Y,1
199,19,M,M,N,0
200,66,M,M,N,0
201,83,M,M,N,1
202,30,F,S,Y,0
203,45,M,S,N,0
204,80,F,S,N,0
205,46,F,M,Y,0
206,78,M,S,N,0
207,44,M,D,N,5
208,74,F,S,N,0
209,52,M,M,Y,0
210,43,F,M,Y,3
211,73,M,M,Y,0
212,70,M,M,Y,1
213,45,F,M,Y,1
214,69,M,M,Y,0
215,63,M,M,Y,1
216,68,F,S,Y,0
217,44,M,M,Y,5
218,66,M,M,Y,0
219,42,F,D,Y,1
220,56,M,M,Y,0
221,48,M,S,N,0
222,37,M,M,Y,3
223,25,F,S,Y,0
224,58,F,S,N,0
225,60,M,M,N,0
226,30,M,M,Y,0
227,45,M,M,Y,2
228,35,F,S,Y,0
229,54,M,M,Y,4
230,29,M,M,N,4
231,74,M,M,Y,0
232,22,M,M,Y,1
233,36,F,M,N,1
234,29,M,S,N,0
235,39,M,M,Y,1
236,44,M,M,N,0
237,34,M,S,N,0
238,42,M,M,Y,1
239,46,F,D,N,1
240,54,F,M,Y,0
241,47,M,M,Y,0
242,21,F,M,N,0
243,22,F,M,N,0
244,91,F,M,N,0
245,46,F,M,Y,0
246,40,F,M,N,2
247,37,M,M,Y,0
248,22,F,S,Y,0
249,55,M,M,N,0
250,52,F,M,N,0
251,28,M,M,Y,1
252,35,M,S,N,0
253,56,M,M,Y,0
254,49,M,S,Y,0
255,68,F,S,N,0
256,64,F,D,Y,1
257,49,M,S,N,0
258,30,F,S,Y,0
259,25,M,M,Y,0
260,26,F,S,Y,0
261,34,F,S,N,0
262,66,M,M,Y,0
263,58,M,M,Y,0
264,52,M,M,N,0
265,59,M,S,N,0
266,64,M,M,Y,0
267,59,M,S,Y,0
268,60,M,M,N,0
269,80,F,S,N,0
270,45,M,M,Y,4
271,45,F,S,N,0
272,65,M,M,Y,2
273,49,F,M,Y,0
274,32,F,M,Y,1
275,66,M,M,Y,0
276,37,F,M,N,1
277,39,F,S,Y,0
278,61,M,S,N,0
279,70,F,S,N,0
280,83,F,D,N,1
281,34,F,M,N,0
282,37,F,S,N,0
283,73,M,S,Y,0
284,31,M,M,N,0
285,85,F,M,Y,0
286,50,F,M,Y,2
287,70,M,S,Y,0
288,47,M,M,N,0
289,36,F,S,Y,0
290,51,F,M,Y,1
291,77,M,S,N,0
292,23,F,D,N,1
293,19,F,M,Y,1
294,48,M,M,N,0
295,54,M,S,N,0
296,59,M,M,Y,0
297,58,F,S,N,0
298,73,M,M,Y,0
299,52,F,S,Y,0
300,47,M,M,Y,0
301,55,F,S,N,0
302,41,M,M,N,0
303,60,M,M,Y,2
304,36,F,S,N,0
305,65,F,S,Y,0
306,60,M,M,Y,0
307,51,F,M,Y,0
308,49,M,M,Y,1
309,61,M,M,Y,1
310,65,F,S,Y,0
311,77,M,S,N,0
312,57,M,S,Y,0
313,62,F,S,N,0
314,41,M,M,N,0
315,45,M,M,Y,0
316,49,M,M,N,1
317,27,M,M,N,0
318,30,M,D,N,1
319,74,M,S,N,0
320,30,M,S,N,0
321,37,M,M,Y,4
322,59,F,S,Y,0
323,50,M,M,Y,0
324,46,M,M,Y,1
325,69,M,M,Y,1
326,28,F,S,N,0
327,66,M,M,Y,0
328,38,M,D,N,2
329,69,M,M,N,2
330,57,F,M,Y,0
331,36,M,S,Y,0
332,34,F,M,N,1
333,26,M,S,N,0
334,26,F,M,N,0
335,51,M,M,Y,3
336,26,F,S,N,0
337,36,F,M,N,1
338,19,M,M,N,0
339,38,F,S,N,0
340,43,M,M,Y,0
341,61,F,S,Y,0
342,29,F,D,Y,4
343,66,F,M,Y,0
344,36,F,M,Y,0
345,63,M,M,Y,1
346,43,M,M,Y,1
347,60,M,M,Y,1
348,81,M,S,Y,0
349,38,M,S,Y,0
350,49,F,M,Y,2
351,45,F,M,N,0
352,61,F,S,N,0
353,64,M,S,Y,0
354,46,M,S,Y,0
355,25,F,S,Y,0
356,69,M,M,Y,0
357,57,M,S,N,0
358,26,M,M,N,0
359,38,F,S,Y,0
360,48,M,S,N,0
361,73,F,M,N,0
362,41,M,S,Y,0
363,78,F,D,N,1
364,44,F,S,N,0
365,45,M,S,Y,0
366,46,M,M,N,0
367,69,M,M,N,0
368,33,F,D,N,3
369,32,M,S,N,0
370,29,F,D,N,1
371,61,F,M,Y,0
372,69,M,S,Y,0
373,25,M,S,N,0
374,43,F,S,N,0
375,35,F,S,N,0
376,26,M,S,N,0
377,39,M,S,N,0
378,31,F,M,N,0
379,44,F,M,N,0
380,59,M,M,Y,0
381,47,M,M,Y,0
382,88,F,S,Y,0
383,50,F,M,Y,0
384,54,M,M,Y,0
385,27,F,S,N,0
386,33,F,S,N,0
387,27,F,D,Y,1
388,50,F,S,Y,0
389,62,M,M,Y,0
390,81,F,S,Y,0
391,27,F,S,Y,0
392,40,M,M,Y,0
393,32,F,S,N,0
394,63,F,M,Y,0
395,64,M,M,Y,0
396,36,M,S,Y,0
397,31,F,M,N,0
398,57,M,M,Y,0
399,46,M,M,Y,2
400,61,M,D,Y,1
401,36,F,M,Y,2
402,33,M,M,Y,1
403,22,F,S,N,0
404,45,F,M,Y,3
405,40,F,S,N,0
406,57,F,M,Y,0
407,80,M,S,N,0
408,29,M,M,Y,0
409,51,F,D,Y,3
410,49,M,M,Y,0
411,23,F,S,Y,0
412,47,M,M,Y,0
413,39,F,M,Y,3
414,39,F,M,N,1
415,21,F,S,N,0
416,25,M,M,N,0
417,39,M,S,Y,0
418,47,M,M,Y,2
419,54,M,M,Y,0
420,59,F,S,Y,0
421,46,F,M,N,0
422,37,F,D,Y,1
423,56,F,S,Y,0
424,25,F,S,N,0
425,33,F,S,N,0
426,37,M,S,N,0
427,50,F,D,N,1
428,59,F,S,N,0
429,47,F,S,Y,0
430,36,M,S,Y,0
431,37,M,M,Y,0
432,30,F,D,Y,1
433,65,M,S,Y,0
434,66,M,M,Y,0
435,59,F,S,Y,0
436,23,M,S,N,0
437,75,M,S,N,0
438,44,F,M,Y,2
439,56,M,M,Y,1
440,49,F,S,Y,0
441,70,M,M,Y,0
442,30,F,S,Y,0
443,64,F,S,Y,0
444,31,M,M,N,2
445,64,F,M,Y,0
446,37,F,S,N,0
447,59,M,S,Y,0
448,33,F,S,N,0
449,51,F,M,N,0
450,40,F,S,N,0
451,35,F,D,N,1
452,48,F,M,N,0
453,33,M,S,N,0
454,77,F,S,N,0
455,48,F,D,Y,4
456,39,F,M,N,1
457,62,M,M,N,2
458,79,F,D,Y,1
459,59,F,S,N,0
460,19,M,S,N,0
461,76,F,S,Y,0
462,25,F,S,N,0
463,53,F,M,Y,0
464,60,M,S,N,0
465,37,M,M,Y,0
466,40,F,M,Y,0
467,34,M,M,N,1
468,44,F,M,N,1
469,63,M,S,Y,0
470,35,F,M,Y,0
471,49,M,S,N,0
472,60,M,M,Y,1
473,42,M,M,Y,1
474,56,M,M,Y,1
475,61,F,M,Y,0
476,57,M,M,Y,1
477,27,M,M,N,0
478,72,M,M,Y,0
479,31,M,M,Y,0
480,59,F,S,N,0
481,38,F,M,Y,1
482,59,M,M,Y,0
483,33,F,S,Y,0
484,37,M,D,Y,1
485,35,F,M,Y,2
486,22,F,S,N,0
487,66,F,S,Y,0
488,45,M,M,N,0
489,39,F,M,Y,0
490,73,M,S,Y,0
491,79,M,S,Y,0
492,58,M,M,Y,0
493,66,M,M,Y,0
494,68,M,M,Y,0
495,44,M,M,N,0
496,60,M,M,Y,0
497,61,M,M,Y,1
498,63,F,M,Y,3
499,41,F,D,N,1
500,63,M,M,Y,1
501,62,F,M,Y,0
502,19,F,M,Y,1
503,28,M,S,Y,0
504,57,M,S,Y,0
505,23,F,D,Y,1
506,70,M,M,Y,0
507,46,F,S,Y,0
508,43,M,M,Y,0
509,30,F,S,N,0
510,76,F,M,Y,0
511,47,F,M,Y,1
512,61,F,S,N,0
513,55,M,M,Y,0
514,64,M,M,Y,0
515,22,F,S,N,0
516,42,M,S,N,0
517,57,F,M,Y,0
518,49,F,S,N,0
519,70,M,S,N,0
520,25,F,S,N,0
521,82,M,M,N,0
522,26,M,S,Y,0
523,40,F,S,N,0
524,26,F,S,N,0
525,51,M,M,Y,0
526,57,M,S,N,0
527,31,F,D,N,1
528,45,M,D,N,1
529,57,M,S,N,0
530,65,M,S,Y,0
531,54,M,M,Y,0
532,60,M,S,N,0
533,22,F,S,Y,0
534,69,M,M,Y,0
535,42,F,S,N,0
536,59,M,M,Y,2
537,55,M,M,Y,2
538,24,F,S,Y,0
539,63,M,M,Y,0
540,45,M,M,N,2
541,31,F,M,N,0
542,58,F,S,N,0
543,49,F,M,Y,1
544,68,M,M,Y,0
545,55,M,M,Y,0
546,61,F,M,Y,0
547,72,M,M,Y,1
548,62,F,S,N,0
549,56,M,S,Y,0
550,68,F,S,N,0
551,77,M,M,N,0
552,42,M,S,N,0
553,67,M,M,N,0
554,61,M,M,Y,0
555,71,M,S,Y,0
556,45,F,M,Y,4
557,44,F,S,N,0
558,22,M,S,Y,0
559,62,F,M,Y,0
560,49,M,M,Y,3
561,27,F,S,Y,0
562,64,F,M,Y,0
563,27,F,S,Y,0
564,60,M,M,Y,1
565,45,F,M,Y,1
566,93,M,M,Y,0
567,48,M,M,Y,0
